title,canonical_name,cuisine,score,version_rank,total_versions,ingredients_count,steps_count
厦门海蛎煎,厦门海蛎煎,闽菜,0.686875,1,1,8,6
福建油饼,福建油饼,闽菜,0.63,1,1,5,8
闽南带鱼饭,闽南带鱼饭,闽菜,0.7350000000000001,1,1,6,10
红糖糍粑,红糖糍粑,闽菜,0.71,1,5,3,8
红糖糍粑,红糖糍粑,闽菜,0.6950000000000001,2,5,3,11
炒笋粿,炒笋粿,闽菜,0.5549999999999999,1,1,6,11
闽南炣廋肉,闽南炣廋肉,闽菜,0.65,1,1,4,4
莆仙红团,莆仙红团,闽菜,0.6625000000000001,1,1,6,11
虾仁胡萝卜粥,虾仁胡萝卜粥,闽菜,0.54,1,1,7,9
煎小蚝仔,煎小蚝仔,闽菜,0.525,1,1,5,4
蛋皮燕,蛋皮燕,闽菜,0.73,1,1,10,20
闽南蚝仔煎,闽南蚝仔煎,闽菜,0.665,1,1,6,8
闽南菜干饭,干饭,闽菜,0.7200000000000001,1,1,6,6
炒海鲜味地瓜粉,炒海鲜味地瓜粉,闽菜,0.544375,1,1,8,5
桂花红糖糍粑,桂花红糖糍粑,闽菜,0.48875,1,1,4,13
闽南粉仔粿,闽南粉仔粿,闽菜,0.5925,1,1,6,10
青椒酿肉,青椒酿肉,闽菜,0.6343749999999999,1,1,8,11
